Tmed_472897F0;Tmed_472976F8;Tmed_4727C11E
16.0;14.8;13.4
14.0;14.4;12.4
15.8;15.3;13.2
14.0;14.6;12.1
13.6;11.9;11.0
13.2;14.0;11.0
15.0;13.6;12.2
13.2;12.6;10.8
15.3;12.4;11.9
16.8;15.3;13.6
17.5;15.3;13.5
17.1;15.6;13.8
17.7;16.5;14.1
13.4;15.4;12.0
14.9;15.2;12.4
14.4;14.6;11.8
13.9;14.2;11.3
16.2;16.6;13.3
14.9;16.1;13.4
13.4;15.6;11.9
14.2;16.1;11.9
14.3;14.7;12.6
16.9;15.0;14.9
17.0;17.2;14.8
16.7;17.4;14.2
14.9;15.9;13.5
15.9;17.5;13.8
17.7;17.4;14.8
17.2;16.5;14.0
18.4;16.0;15.1
16.0;16.2;13.4
16.6;17.0;14.8
13.2;14.7;12.1
14.3;15.4;12.6
14.4;15.6;12.6
13.3;15.3;11.8
14.5;15.6;12.0
14.7;16.1;12.5
15.1;15.5;12.8
16.6;15.4;13.3
15.8;16.3;12.6
14.8;15.5;11.8
14.7;15.1;12.2
15.7;12.9;11.5
14.4;14.3;12.7
13.3;14.1;11.8
15.8;16.2;12.4
14.0;16.8;12.3
16.4;17.7;13.9
17.8;18.3;15.7
17.6;17.7;15.2
14.7;16.4;13.2
16.7;17.2;13.5
16.8;18.9;13.9
15.6;16.7;12.6
14.6;16.4;12.8
14.1;15.1;12.1
15.8;14.1;12.4
16.3;14.7;13.2
16.3;15.4;13.3
15.1;14.7;12.9
17.3;18.1;14.6
17.4;17.1;14.1
15.2;15.8;12.9
15.3;15.4;13.0
16.8;17.0;13.9
18.0;17.8;14.8
15.6;17.3;14.4
15.5;15.9;13.5
15.7;16.8;13.4
15.8;14.8;13.4
15.7;16.0;13.8
15.4;14.6;12.6
15.4;15.4;12.8
14.7;14.9;12.5
14.8;14.4;12.5
12.7;13.7;11.6
14.3;14.3;12.2
14.6;15.2;12.8
14.5;13.2;12.4
13.9;14.2;12.2
13.2;14.0;12.1
13.3;14.9;11.6
14.7;14.6;12.4
13.3;14.1;11.8
13.5;14.0;11.7
13.8;14.4;11.6
14.1;14.6;12.3
15.2;14.9;13.2
14.3;14.3;12.5
13.5;14.3;12.2
12.0;13.3;10.3
14.0;13.9;12.2
14.6;14.8;12.2
14.5;15.5;12.7
15.3;14.6;13.0
13.9;13.3;10.9
13.4;13.8;11.8
12.9;13.0;10.9
13.2;13.5;11.3
14.2;13.9;11.9
14.9;14.8;13.0
15.2;13.5;12.9
14.9;12.9;12.1
14.1;15.0;12.3
14.2;11.3;11.7
15.4;14.2;11.9
14.4;13.7;12.2
14.0;12.9;11.2
13.8;12.2;11.6
15.5;13.1;12.9
14.9;14.1;12.7
14.8;14.7;12.3
14.1;13.4;11.8
15.1;14.4;12.2
15.0;14.8;12.8
13.7;13.6;11.9
14.2;12.7;11.4
14.8;13.6;12.3
15.3;13.5;11.8
15.2;16.0;12.4
13.3;12.5;11.3
12.3;11.2;10.5
15.4;14.7;13.1
15.7;13.8;12.9
16.8;13.9;13.3
16.9;14.8;13.2
15.5;15.4;12.8
16.2;15.9;13.5
15.8;14.4;13.4
16.2;14.3;12.9
15.2;14.0;12.4
